# 武英殿刻本 同文書局本 標點整理本
㔧	346:13	150:7	79:11
㔨	350:18	151:35	81:13
㔩	351:2	151:38	81:16
㔪	351:6	152:3	81:20
㔬	353:7	152:31	82:7
㔭	354:9	153:6	82:16
㔮	2388:1	998:20	965:8
㔯	355:10	153:28	83:6
㔰	3787:5	1588:4	85:6
㔱	356:13	154:6	83:29
㔳	356:20	154:13	83:36
㔴	356:21	154:14	83:37
㔵	357:3	154:18	83:41
㔶	357:19	154:34	84:15
㔷	359:2	155:3	84:23
㔸	360:1	155:14	85:1
㔹	361:1	155:21	85:12
㔺	361:10	156:9	85:21
㔻	362:1	156:11	85:23
㔼	364:5	157:14	87:1
㔽	367:5	158:19	88:5
㔾	368:2	158:46	88:45
㔿	368:4	158:48	88:47
㕁	370:12	159:26	89:16
㕂	373:3	160:26	90:26
㕃	373:5	160:28	90:28
㕄	373:13	160:36	90:36
㕅	373:16	160:39	90:39
㕆	373:19	161:2	91:2
㕇	373:20	161:3	91:3
㕈	374:2	161:9	91:9
㕉	374:7	161:14	91:14
㕊	374:17	161:24	91:24
㕋	375:10	161:38	91:36
㕌	375:13	161:41	91:39
㕍	375:20	162:2	92:7
㕎	377:4	162:31	92:27
㕏	3788:21	1588:45	94:21
㕐	377:23	162:50	93:4
㕒	378:5	163:5	93:10
㕕	380:7	164:5	94:33
㕖	381:19	164:26	94:54
㕗	381:20	164:27	94:55
㕚	383:3	165:2	95:27
㕛	384:2	165:12	95:30
㕜	385:7	165:30	96:15
㕞	386:2	166:2	96:29
㕟	386:7	166:8	97:2
㕡	388:7	167:1	97:40
㕢	2891:18	1208:26	1185:16
㕣	401:2	172:9	100:9
㕤	403:3	173:8	101:7
㕥	3712:5	1548:2	145:20
㕦	406:1	175:1	102:20
㕧	407:6	175:8	103:6
㕨	3789:10	1589:28	146:31
㕩	411:4	177:11	105:2
㕪	411:5	177:12	105:3
㕫	412:5	177:23	105:9
㕬	413:11	178:10	105:23
㕭	415:2	178:23	106:11
㕮	415:4	178:25	106:13
㕯	416:3	179:9	107:3
㕰	418:1	180:5	108:1
㕱	420:7	181:7	108:11
㕲	420:13	181:13	109:1
㕳	421:4	181:19	109:7
㕴	3789:16	1589:34	146:37
㕵	3789:17	1589:35	146:38
㕷	421:12	181:27	109:15
㕸	421:16	181:31	109:19
㕹	424:2	183:1	110:10
㕺	425:7	183:10	111:1
㕻	427:8	184:9	112:2
㕼	430:2	185:8	113:2
㕽	3789:32	1589:50	146:53
㖀	432:3	186:10	114:2
㖁	432:5	186:12	114:4
㖂	433:2	187:1	114:11
㖃	433:9	187:8	114:18
㖄	435:3	187:22	115:8
㖅	437:3	188:16	116:5
㖆	437:5	188:18	116:7
㖇	439:4	189:13	117:4
㖏	439:20	189:29	117:20
㖐	440:6	190:6	117:28
